,cluster,kingdom
4243,4262,Archaea
4414,4269,Viruses
4850,4278,Eukaryota
4402,4307,Eukaryota
1488,4311,Viruses
6737,4313,Eukaryota
3693,4315,Bacteria
2069,4318,Bacteria
2175,4320,Eukaryota
6592,4328,Eukaryota
2830,4334,Bacteria
1444,4345,Bacteria
350,4347,Eukaryota
1331,4352,Eukaryota
4221,4353,
2932,4355,Eukaryota
3960,4357,Eukaryota
4460,4360,Eukaryota
5730,4382,Bacteria
4856,4384,Eukaryota
5153,4388,Bacteria
5316,4393,Eukaryota
1363,4397,Eukaryota
2938,4420,Eukaryota
4291,4425,Eukaryota
2249,4428,Eukaryota
3906,4430,
3905,4435,Viruses
1561,4438,Eukaryota
744,4441,Eukaryota
1778,4449,Bacteria
6856,4462,Eukaryota
4398,4473,Eukaryota
2941,4475,
2535,4477,Eukaryota
1664,4478,Eukaryota
982,4480,Eukaryota
1130,4485,Eukaryota
6841,4489,Eukaryota
4842,4491,Eukaryota
1012,4494,Eukaryota
2258,4513,Viruses
6555,4516,Eukaryota
3447,4517,Eukaryota
461,4524,Bacteria
3206,4533,Eukaryota
2439,4535,Bacteria
6153,4543,Eukaryota
4794,4553,Viruses
852,4558,Eukaryota
979,4559,Viruses
5979,4563,Eukaryota
4514,4564,Eukaryota
1210,4565,Bacteria
2360,4575,Eukaryota
1323,4577,Eukaryota
1867,4612,Eukaryota
4699,4618,Eukaryota
5010,4626,Eukaryota
3468,4629,Eukaryota
4827,4660,Eukaryota
593,4663,Eukaryota
761,4665,Eukaryota
2407,4675,Eukaryota
5230,4685,Eukaryota
3998,4691,
5386,4707,Eukaryota
485,4712,Eukaryota
3578,4713,Eukaryota
2551,4715,Bacteria
5142,4726,Eukaryota
4461,4732,
2871,4742,Eukaryota
2524,4744,Eukaryota
5620,4745,Eukaryota
823,4748,Eukaryota
6230,4751,Viruses
4524,4767,Eukaryota
3606,4768,Eukaryota
3964,4778,Eukaryota
5896,4782,Eukaryota
2485,4785,Eukaryota
1450,4795,Bacteria
2058,4804,Eukaryota
6396,4814,Eukaryota
3712,4820,Eukaryota
1598,4825,Eukaryota
4273,4827,Eukaryota
1951,4835,Eukaryota
3709,4836,Eukaryota
247,4844,Eukaryota
320,4858,Eukaryota
5582,4859,Bacteria
1098,4861,Eukaryota
5976,4875,Bacteria
5382,4889,
2885,4894,Eukaryota
263,4902,Eukaryota
3563,4903,Eukaryota
5492,4908,Eukaryota
2155,4910,Bacteria
5900,4912,Eukaryota
6128,4924,
5944,4931,Eukaryota
2877,4936,
6381,4947,Eukaryota
6093,4954,Eukaryota
57,4957,Eukaryota
340,4959,Eukaryota
1734,4965,Eukaryota
4887,4973,Eukaryota
2021,4977,Eukaryota
20,4980,Eukaryota
4888,4995,Eukaryota
1490,4998,Eukaryota
32,4999,Viruses
1237,5023,Eukaryota
3808,5024,Viruses
2241,5035,
1377,5036,Bacteria
5772,5059,Eukaryota
2135,5071,Bacteria
769,5076,Eukaryota
4644,5080,Eukaryota
4655,5087,Eukaryota
1982,5105,Eukaryota
4912,5112,Eukaryota
5360,5122,Eukaryota
1242,5144,Eukaryota
3768,5155,Eukaryota
1590,5182,Eukaryota
4419,5187,Eukaryota
1936,5189,Eukaryota
3245,5211,Eukaryota
1907,5214,Eukaryota
2705,5222,Eukaryota
1256,5223,Viruses
362,5225,Eukaryota
1947,5227,Eukaryota
809,5240,Eukaryota
5981,5252,Bacteria
3972,5264,Eukaryota
2256,5272,Eukaryota
6383,5279,Eukaryota
4700,5285,Eukaryota
349,5289,
74,5291,Eukaryota
3180,5296,Eukaryota
4832,5305,Viruses
1235,5308,Viruses
4535,5326,Eukaryota
2048,5335,Eukaryota
2683,5341,Bacteria
1239,5354,Eukaryota
87,5369,
6215,5384,Viruses
2451,5385,Eukaryota
3776,5390,Eukaryota
2457,5397,Eukaryota
1112,5408,Eukaryota
4000,5413,Bacteria
2612,5427,Eukaryota
8,5442,Eukaryota
2184,5456,Bacteria
5784,5458,Eukaryota
5393,5465,Eukaryota
3452,5469,Eukaryota
6511,5472,Eukaryota
3464,5474,Eukaryota
2482,5478,Bacteria
3273,5482,Viruses
4871,5483,Eukaryota
5138,5487,Bacteria
5606,5488,Eukaryota
4306,5499,Viruses
4253,5504,Viruses
700,5508,Bacteria
575,5526,Bacteria
3622,5558,Eukaryota
5640,5576,Eukaryota
428,5578,Eukaryota
43,5589,Eukaryota
6544,5592,Eukaryota
1762,5627,Eukaryota
1608,5629,Bacteria
4678,5633,Viruses
5477,5636,Eukaryota
4315,5641,Eukaryota
4180,5642,
682,5654,Eukaryota
1481,5655,Eukaryota
5844,5668,Bacteria
5168,5673,Eukaryota
2245,5674,Eukaryota
3946,5677,Eukaryota
4162,5686,Bacteria
5422,5688,Eukaryota
5256,5689,Eukaryota
4432,5697,Viruses
6572,5708,Eukaryota
2849,5712,Viruses
6798,5734,Eukaryota
90,5757,Bacteria
4161,5761,Eukaryota
6663,5765,Eukaryota
1905,5769,Eukaryota
371,5788,Bacteria
6354,5794,Bacteria
5345,5825,Eukaryota
2848,5829,Eukaryota
4590,5842,Bacteria
3659,5844,Eukaryota
219,5846,Eukaryota
3034,5852,Eukaryota
5493,5884,
4791,5893,Eukaryota
2651,5894,Eukaryota
5939,5897,Eukaryota
1107,5905,Eukaryota
5525,5909,
3884,5922,Eukaryota
5693,5927,Eukaryota
6571,5932,Eukaryota
2352,5945,Eukaryota
2623,5956,Eukaryota
545,5973,Eukaryota
513,5983,
6279,5989,Bacteria
659,6003,Eukaryota
6711,6032,Eukaryota
2098,6042,Eukaryota
1745,6048,Viruses
6286,6053,Bacteria
150,6066,Bacteria
6110,6067,
1138,6075,Bacteria
5591,6080,Eukaryota
3531,6088,Bacteria
4963,6099,Eukaryota
6740,6100,Eukaryota
5135,6108,Eukaryota
4965,6109,Eukaryota
1469,6110,Eukaryota
888,6117,Eukaryota
3864,6131,Eukaryota
4747,6137,Bacteria
3647,6138,Bacteria
1291,6140,Eukaryota
5128,6143,Eukaryota
3276,6152,Eukaryota
4552,6172,Viruses
6827,6187,Eukaryota
6337,6191,
5434,6195,Eukaryota
5522,6197,Eukaryota
1471,6222,Eukaryota
5485,6224,Eukaryota
6187,6231,Bacteria
2495,6232,Bacteria
793,6235,Bacteria
3948,6242,Eukaryota
4577,6248,Eukaryota
5734,6250,Eukaryota
2492,6269,Eukaryota
5119,6275,Eukaryota
6281,6287,Eukaryota
6683,6301,Bacteria
3605,6318,Bacteria
3822,6335,Eukaryota
4643,6339,Eukaryota
3881,6349,Eukaryota
782,6358,Eukaryota
3565,6389,Viruses
4903,6431,Eukaryota
6809,6437,
5045,6445,Eukaryota
5326,6453,Eukaryota
6248,6455,Bacteria
3555,6465,Bacteria
2469,6473,Viruses
676,6483,Eukaryota
732,6486,Bacteria
464,6487,Bacteria
992,6489,Eukaryota
1329,6497,Bacteria
6437,6508,Eukaryota
3682,6509,Eukaryota
4898,6512,Viruses
438,6525,Eukaryota
1416,6539,Bacteria
3291,6561,Bacteria
1815,6567,Eukaryota
3422,6571,Viruses
6103,6572,Bacteria
3747,6577,Eukaryota
5203,6587,Bacteria
5330,6593,Viruses
6219,6600,Bacteria
606,6619,Eukaryota
724,6637,
1854,6651,Eukaryota
1025,6658,Eukaryota
4826,6664,Eukaryota
5239,6669,
3305,6674,Eukaryota
6510,6676,Eukaryota
4875,6677,Eukaryota
1445,6683,Eukaryota
5907,6686,Eukaryota
3934,6687,Eukaryota
6366,6692,Eukaryota
2922,6704,Eukaryota
1962,6714,Eukaryota
4954,6718,Eukaryota
4200,6730,Eukaryota
4519,6738,Eukaryota
6315,6742,Eukaryota
1660,6753,Bacteria
5321,6763,
4961,6784,Eukaryota
3918,6789,Eukaryota
2679,6794,Bacteria
1957,6802,Bacteria
5126,6823,Viruses
1502,6828,Eukaryota
4115,6835,Eukaryota
4592,6839,Bacteria
1616,6848,Eukaryota
574,6849,Eukaryota
449,6852,
242,6853,Eukaryota
3510,6866,Eukaryota
4433,6867,Eukaryota
5402,6872,Eukaryota
5882,6879,Eukaryota
4559,6897,Eukaryota
289,6904,Eukaryota
6146,6907,Bacteria
3825,6912,Eukaryota
6453,6913,Viruses
800,6920,Eukaryota
3769,6923,Bacteria
1998,6931,Bacteria
5773,6933,Eukaryota
1807,6953,Bacteria
216,6970,Eukaryota
4192,6971,Eukaryota
648,6972,Eukaryota
2772,6979,Viruses
117,6983,Eukaryota
5297,6984,Eukaryota
4344,6996,Eukaryota
67,7013,Eukaryota
5073,7018,Eukaryota
2127,7024,Eukaryota
3506,7034,Eukaryota
3082,7046,Eukaryota
806,7056,Bacteria
6634,7058,Bacteria
3927,7060,Eukaryota
4802,7063,Eukaryota
1863,7064,Eukaryota
456,7070,Bacteria
476,7083,Bacteria
3327,7101,Viruses
6791,7115,Bacteria
4689,7127,Eukaryota
1303,7135,Bacteria
4986,7136,Bacteria
4489,7153,Bacteria
